X,Y,Limit_A,Limit_B,Status,Repeater,NonTSMComp,Size,STATUS_ID,MaxSpeed_1,MaxSpeed_2,LastUpdate,Mounting,Descriptio,Maintenanc,Maintena_1,_full_text,X_ITM,Y_ITM
-6.19690117,53.24081802,50 Km/h,50 Km/h,Standard,1,0,450mm,8,50,50,20151124,Cap Mounted,Maintenance - Sign slightly rotated.,,Low,,720353.1259,722677.4068
-6.193958728,53.28612027,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151119,Bracket Mounted,"Maintenance - Kerb offset 100mm, sleeves faded.",,Low,,720422.1483,727722.4878
-6.148164571,53.2610774,80 Km/h,60 Km/h,Standard,1,0,600mm,8,80,60,20151116,Bracket Mounted,"Traffic Lanes Speed Limit 80kmh, Bus Lane Speed Limit 60kmh (South Bound). Maintenance - minor damage to face.",Damaged Sign,Low,,723547.4851,725014.5002
-6.196484296,53.28903374,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151119,Bracket Mounted,"Maintenance - Pole at slight angle, kerb offset 300mm, sleeves faded, 60kmh face rotated.",Damaged Pole,Low,,720245.5839,728042.3756
-6.229537294,53.27197289,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,718089.0765,726089.1342
-6.234829173,53.26539214,50 Km/h,,Standard,1,0,300mm,8,50,0,20160111,,Mounting - Mounted on Tp. Maintenance - Obscured.,Obscured,High,,717754.2256,725348.254
-6.215750166,53.28106863,50 Km/h,50 Km/h,Standard,1,1,750mm,8,50,50,20160113,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Fit sleeves, minor damage both faces, one face obscured.",Damaged Sign,High,,718983.3205,727123.9599
-6.220915587,53.27245888,50 Km/h,,Standard,0,0,600mm,8,50,0,20160115,Bracket Mounted,Maintenance - Fit sleeves,,Low,,718662.7421,726157.4833
-6.229011288,53.2697036,50 Km/h,,Standard,1,0,300mm,8,50,0,20151209,Bracket Mounted,,,,,718130.4143,725837.5303
-6.181845618,53.22142404,80 Km/h,,Standard,1,0,600mm,8,80,0,20151125,Bracket Mounted,Maintenance - Obscured by vegetation,Obscured,High,,721412.8237,720545.1834
-6.210664537,53.25086337,50 Km/h,,Standard,1,0,300mm,8,50,0,20151124,Bracket Mounted,Maintenance - Sleeves dirty.,,Low,,719406.5611,723771.9283
-6.209459907,53.22374496,50 Km/h,,Standard,1,0,300mm,8,50,0,20160107,Bracket Mounted,Maintenence - Road offset 450mm.,,Low,,719562.5005,720756.8735
-6.180959583,53.30224778,50 Km/h,,Standard,1,1,600mm,8,50,0,20151201,Bracket Mounted,"Non TSM - Signs too big. Maintenance -Kerb offset 190mm, sign damaged, at angle & rotated, sleeves faded.",Damaged Sign,Low,,721243.1297,729538.7523
-6.169812956,53.27192155,80 Km/h,,Standard,1,0,600mm,8,80,0,20160107,Bracket Mounted,Maintenance - Replace missing sleeves (Not start of 80kmh zone).,,Low,,722072.4309,726183.7678
-6.198054683,53.25790873,50 Km/h,,Standard,1,0,300mm,8,50,0,20151217,,Mounting - Mounted on Lp.,,,,720228.2082,724576.8984
-6.142943077,53.24436053,50 Km/h,,Standard,0,0,600mm,8,50,0,20151123,Bracket Mounted,"Maintenance - Kerb offset less than 450mm, pole at slight angle.",,Low,,723944.1274,723163.7115
-6.159481743,53.26965463,50 Km/h,,Standard,1,0,300mm,8,50,0,20151204,Bracket Mounted,"Maintenance - Height 1.73m beside cycle track, sign face damaged.",Damaged Sign,Low,,722767.9452,725949.2576
-6.19363099,53.27445681,50 Km/h,,Standard,1,1,600mm,8,50,0,20151203,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Kerb offset 300mm, pole at an angle, sleeves faded.",Damaged Pole,Low,,720476.8024,726425.4131
-6.192904977,53.28247359,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151119,Bracket Mounted,"Maintenance - Pole angled, sleeves faded, kerb offset 100mm, 50kmh face has minor damage, both faces slightly rotated.",Damaged Pole,Low,,720502.664,727318.5496
-6.224397623,53.28157074,50 Km/h,,Standard,1,1,750mm,8,50,0,20151210,Bracket Mounted,Non TSM - Sign too big. Maintenance - Sign face minor damage.,Damaged Sign,Low,,718405.3264,727165.4594
-6.126594332,53.28591315,50 Km/h,,Standard,1,0,300mm,8,50,0,20151119,Bracket Mounted,"Maintenance - Minor damage to sign face, fit sleeves.",Damaged Sign,Low,,724913.9882,727815.0877
-6.201672089,53.29274012,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151130,Bracket Mounted,"Maintenance - 50kmh sign slightly rotated, sleeves faded.",,Low,,719889.3519,728446.0157
-6.21363506,53.30105413,50 Km/h,,Standard,1,1,600mm,8,50,0,20160106,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Kerb offset 250mm, sleeves faded.",,Low,,719068.7598,729350.9965
-6.219341105,53.26749664,50 Km/h,,Standard,1,0,450mm,8,50,0,20160111,,Mounting - Mounted on Lp.,,,,718781.5042,725608.02
-6.130294134,53.24239073,80 Km/h,,Standard,1,0,450mm,8,80,0,20151116,Bracket Mounted,Maintenance - sleeves faded,,Low,,724793.9931,722966.5664
-6.253895684,53.27175211,50 Km/h,,Standard,1,0,300mm,8,50,0,20151016,,,,,,716465.1268,726024.6016
-6.171180307,53.20489296,80 Km/h,50 Km/h,Standard,0,0,600mm,8,80,50,20160114,Cap Mounted,"Sign is in Wicklow Co. Co. area. Maintenance - 80kmh sign towards DLR is wrong, 50kmh sign has minor damage. Check if 50kmh into Wicklow Co Co is correct.",Inappropriate,High,,722171.9945,718724.1895
-6.173001678,53.27375519,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151118,Bracket Mounted,"Maintenance - Both signs rotated, 50kmh face has minor damage, kerb offset 230mm, sleeves faded.",Damaged Sign,Low,,721854.5499,726382.3284
-6.217866781,53.27197349,120 Km/h,,Standard,0,0,,8,120,0,20160201,Bracket Mounted,(Fly over),,,,718867.4218,726108.547
-6.143634984,53.25370974,80 Km/h,50 Km/h,Standard,0,0,600mm,8,80,50,20151116,Bracket Mounted,Maintenance - 80kmh sign not visible.,Obscured,Low,,723870.941,724202.6531
-6.226668202,53.26070758,50 Km/h,,Standard,1,0,300mm,8,50,0,20151209,,"Mounting - Mounted on Tp. Maintenance - Sign dirty & rotated, sign located far away from road edge.",Inappropriate,High,,718311.5246,724840.5435
-6.25462588,53.30774151,50 Km/h,,Standard,1,1,600mm,8,50,0,20151216,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Height 1.95m, sign and sleeves dirty.",,Low,,716318.6138,730027.4838
-6.255449988,53.27697132,50 Km/h,,Standard,1,0,600mm,8,50,0,20160113,,,,,,716347.2885,726602.7419
-6.181175203,53.25401662,50 Km/h,,Standard,1,1,600mm,8,50,0,20151217,Bracket Mounted,Non TSM - Sign too big. Maintenance - Sleeves faded.,,Low,,721365.3414,724172.4032
-6.194848581,53.28966533,60 Km/h,50 Km/h,Standard,0,0,600mm,8,60,50,20151130,Bracket Mounted,"Maintenance - 60kmh face damaged, both faces rotated, kerb offset 40mm, height 2.05m beside cycle track, sleeves faded.",Damaged Sign,Low,,720352.8561,728115.3971
-6.147980629,53.23717706,50 Km/h,,Standard,1,0,300mm,8,50,0,20151127,Bracket Mounted,"Maintenance - Sign slightly rotated, fit sleeves.",,Low,,723628.6466,722355.7984
-6.184214289,53.2549165,50 Km/h,,Standard,1,0,300mm,8,50,0,20151217,,Mounting - Mounted on Lp. Maintenance - Minor damage to sign face.,Damaged Sign,Low,,721160.0273,724267.3647
-6.139365151,53.2487429,80 Km/h,60 Km/h,Standard,1,0,,8,80,60,20151210,,"Missing - Sign missing from H frame pole. Traffic Lanes Speed Limit 80kmh, Bus Lane Speed Limit 60kmh (North Bound).",Missing,High,,724170.2122,723657.4782
-6.221144528,53.22984307,50 Km/h,50 Km/h,Standard,1,1,600mm,8,50,50,20160107,,"Non TSM - Signs too big. Maintenance - Both signs have minor damage, sleeves faded.",Damaged Sign,Low,,718765.4587,721415.8495
-6.220926866,53.27543448,50 Km/h,,Standard,1,1,600mm,8,50,0,20151210,Bracket Mounted,Non TSM - Sign too big. Maintenance - Sign slightly rotated.,,Low,,718653.7482,726488.5187
-6.117212643,53.27768991,50 Km/h,,Standard,1,1,600mm,8,50,0,20151119,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Pole is at an angle, kerb offset 0mm, minor damage to sign face.",Damaged Sign,Low,,725563.5789,726916.6573
-6.278343654,53.26687998,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,714847.6462,725442.9831
-6.280228151,53.26748462,50 Km/h,,Standard,1,1,600mm,8,50,0,20160111,Bracket Mounted,Non TSM - County boundary sign. Maintenance - Sign has minor damage.,Damaged Sign,Low,,714720.3279,725507.2271
-6.20447131,53.29752969,60 Km/h,,Standard,1,1,300mm,8,60,0,20151130,Bracket Mounted,Non TSM - Sign too small - Maintenance - Fit sleeves.,,Low,,719689.3609,728974.1918
-6.262611231,53.27501945,50 Km/h,,Standard,1,0,300mm,8,50,0,20140515,,,,,,715875.0132,726373.9489
-6.229636615,53.26531692,50 Km/h,,Standard,1,0,300mm,8,50,0,20151209,,Mounting - Mounted on Lp.,,,,718100.7963,725348.4517
-6.16478295,53.20467529,50 Km/h,50 Km/h,Standard,1,1,600mm,8,50,50,20160115,Bracket Mounted,"Non TSM - Sign too big for repeater, County boundary sign. Maintenance - County boundary sign facing wrong way, minor damage to county boundary sign.",Inappropriate,High,,722599.9421,718710.918
-6.146689948,53.25952796,80 Km/h,,Standard,1,0,600mm,8,80,0,20151118,Bracket Mounted,"Maintenance - sleeves faded, centre sign on pole.",,Low,,723650.3266,724844.6674
-6.16789406,53.27115213,80 Km/h,60 Km/h,Standard,1,0,600mm,8,80,60,20151118,,"Traffic Lanes Speed Limit 80kmh, Bus Lane Speed Limit 60kmh (North Bound).",,,,722202.6023,726101.4455
-6.220004973,53.31025092,60 Km/h,,Standard,0,0,,8,60,0,20160114,,Missing - No sign at this change in speed limit.,Missing,High,,718618.7206,730363.6035
-6.190991629,53.23434459,50 Km/h,,Standard,1,0,300mm,8,50,0,20151127,Bracket Mounted,"Maintenance - Edge of warning sign 250mm off road edge, sleeves faded.",,Low,,720765.7614,721967.1685
-6.244652163,53.27068669,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,717084.5263,725921.1684
-6.151012525,53.23790531,50 Km/h,,Standard,1,0,300mm,8,50,0,20160111,Bracket Mounted,Maintenance - Height 1.8m,,Low,,723424.1817,722431.5818
